target,split,model,feature_set,train_rows,test_rows,feature_count,prevalence,auc,average_precision,brier
homeostasis,group_subject_cv,logistic,aggressive_shape,6908,8636,542,0.479967577582214,0.6571685926470283,0.6147663045523086,0.24721064677582394
homeostasis,group_subject_cv,logistic,quality_only,6908,8636,27,0.479967577582214,0.6520877970926439,0.5918271577717993,0.22903571340126097
homeostasis,leave_dataset_out:catsa,logistic,quality_only,6248,2388,27,0.49748743718592964,0.4918925364758698,0.48971437725822986,0.3218020612396033
homeostasis,leave_dataset_out:painmonit,logistic,quality_only,7651,985,27,0.2913705583756345,0.47707985982847956,0.2812209590439049,0.3457081973679339
homeostasis,leave_dataset_out:physiopain_watch,logistic,quality_only,7436,1200,27,0.525,0.5,0.5249999999999999,0.37544480441713807
homeostasis,leave_dataset_out:rheumapain,logistic,quality_only,7557,1079,27,0.9063948100092678,0.48307821579703986,0.9020596078061587,0.18571902258531647
homeostasis,leave_dataset_out:silver_pain,logistic,quality_only,7749,887,27,0.46110484780157834,0.4895806692514655,0.4680254717417655,0.27405630269407855
homeostasis,leave_dataset_out:wesad,logistic,quality_only,7322,1314,27,0.4969558599695586,0.5283006628316185,0.5280245346538942,0.4959618947024026
homeostasis,group_subject_cv,extra_trees,quality_only,6908,8636,27,0.479967577582214,0.6680333190170719,0.60949994538414,0.22771963531463058
homeostasis,leave_dataset_out:catsa,extra_trees,quality_only,6248,2388,27,0.49748743718592964,0.5588096240179573,0.5458900018739976,0.2527196338055837
homeostasis,leave_dataset_out:painmonit,extra_trees,quality_only,7651,985,27,0.2913705583756345,0.47707985982847956,0.2812209590439049,0.3417502898123268
homeostasis,leave_dataset_out:physiopain_watch,extra_trees,quality_only,7436,1200,27,0.525,0.5,0.5249999999999999,0.3809819306008099
homeostasis,leave_dataset_out:rheumapain,extra_trees,quality_only,7557,1079,27,0.9063948100092678,0.5026473506246331,0.9079836540694322,0.1861985512099712
homeostasis,leave_dataset_out:silver_pain,extra_trees,quality_only,7749,887,27,0.46110484780157834,0.5158796329449316,0.4821451130558712,0.25094416817579057
homeostasis,leave_dataset_out:wesad,extra_trees,quality_only,7322,1314,27,0.4969558599695586,0.5720102494480264,0.5474106247864113,0.4828249322183893
homeostasis,group_subject_cv,logistic,dataset_only,6908,8636,2,0.479967577582214,0.6707495408992492,0.6444816561725386,0.2070193962176898
homeostasis,leave_dataset_out:catsa,logistic,dataset_only,6248,2388,2,0.49748743718592964,0.5028058361391695,0.4989655211917965,0.29201385329656293
homeostasis,leave_dataset_out:painmonit,logistic,dataset_only,7651,985,2,0.2913705583756345,0.5229201401715204,0.30230349419099234,0.20638845035148926
homeostasis,leave_dataset_out:physiopain_watch,logistic,dataset_only,7436,1200,2,0.525,0.5,0.5249999999999999,0.304394956624825
homeostasis,leave_dataset_out:rheumapain,logistic,dataset_only,7557,1079,2,0.9063948100092678,0.5145072789487537,0.9093340085963559,0.49562707543958895
homeostasis,leave_dataset_out:silver_pain,logistic,dataset_only,7749,887,2,0.46110484780157834,0.5338257409131364,0.481040980022012,0.27639389056911445
homeostasis,leave_dataset_out:wesad,logistic,dataset_only,7322,1314,2,0.4969558599695586,0.5021036389710704,0.49826501939270074,0.2924465427484954
activity_control,group_subject_cv,logistic,portable_base_shape,8032,10040,86,0.09860557768924302,0.9726473575534348,0.850319436713083,0.056360008085415934
activity_control,group_subject_cv,hist_gradient_boosting,portable_base_shape,8032,10040,86,0.09860557768924302,0.9945136447346391,0.9633803893533106,0.01561240888498212
activity_control,group_subject_cv,extra_trees,portable_base_shape,8032,10040,86,0.09860557768924302,0.9948984876388192,0.965891273821971,0.02336040928614458
activity_control,group_subject_cv,logistic,aggressive_shape,8032,10040,542,0.09860557768924302,0.9887929013895864,0.8594871135701851,0.024389120519024508
activity_control,group_subject_cv,logistic,quality_only,8032,10040,27,0.09860557768924302,0.9171733355656008,0.48267805908101735,0.13333383366447576
activity_control,group_subject_cv,extra_trees,quality_only,8032,10040,27,0.09860557768924302,0.9527434008594229,0.6387076854912603,0.09657309038041434
activity_control,group_subject_cv,logistic,dataset_only,8032,10040,2,0.09860557768924302,1.0,1.0,1.2413305402523171e-05
