task,split,feature_set,heldout,train_rows,test_rows,features,train_datasets,test_datasets,train_subjects,test_subjects,status,mae,baseline_mae,mae_improvement_vs_train_mean,rmse,r2,prevalence,roc_auc,average_precision,balanced_accuracy,f1,reason
stress_binary,leave_stress_source_out,metadata_probe,SYNTHETIC,278391,256800,23,"catsa,induced_stress_exercise,merged_wearable_stress,stress_reference_real",stress_reference_synthetic,201,200,ok,,,,,,0.4857126168224299,1.0,1.0,1.0,1.0,
stress_binary,leave_stress_source_out,hr_eda_stress,UBFC,496622,38569,25,"catsa,induced_stress_exercise,merged_wearable_stress,stress_reference_real,stress_reference_synthetic",stress_reference_real,345,56,ok,,,,,,0.984417537400503,0.49425404999954425,0.9885481241165693,0.4822218710493047,0.9740513652626119,
stress_binary,leave_stress_source_out,autonomic_core,UBFC,496622,38569,70,"catsa,induced_stress_exercise,merged_wearable_stress,stress_reference_real,stress_reference_synthetic",stress_reference_real,345,56,ok,,,,,,0.984417537400503,0.5100951769175268,0.9888782727281374,0.48156342182890854,0.9733686466055339,
stress_binary,leave_stress_source_out,metadata_probe,UBFC,496622,38569,23,"catsa,induced_stress_exercise,merged_wearable_stress,stress_reference_real,stress_reference_synthetic",stress_reference_real,345,56,ok,,,,,,0.984417537400503,1.0,1.0,1.0,1.0,
stress_binary,leave_stress_source_out,hr_eda_stress,WESAD,503641,31550,25,"catsa,induced_stress_exercise,merged_wearable_stress,stress_reference_real,stress_reference_synthetic",stress_reference_real,387,14,ok,,,,,,0.3022187004754358,0.46643705172654243,0.2733539089692957,0.47741487218337214,0.20315258511979822,
stress_binary,leave_stress_source_out,autonomic_core,WESAD,503641,31550,70,"catsa,induced_stress_exercise,merged_wearable_stress,stress_reference_real,stress_reference_synthetic",stress_reference_real,387,14,ok,,,,,,0.3022187004754358,0.5003602087102503,0.2951991300604918,0.4927873103634231,0.2336239103362391,
stress_binary,leave_stress_source_out,metadata_probe,WESAD,503641,31550,23,"catsa,induced_stress_exercise,merged_wearable_stress,stress_reference_real,stress_reference_synthetic",stress_reference_real,387,14,ok,,,,,,0.3022187004754358,1.0,1.0,1.0,1.0,
baseline_state_binary,baseline_group_holdout,sensors_plus_state,,49893,15128,286,"catsa,epm_e4,physiopain_eeg,physiopain_watch,rheumapain,wearable_sports_health","catsa,epm_e4,physiopain_eeg,physiopain_watch,rheumapain,wearable_sports_health",133,45,ok,,,,,,0.6417900581702802,0.9749847808731787,0.9748279476085058,0.9416201346619739,0.9679288640223799,
baseline_state_binary,baseline_group_holdout,apple_watch_like,,49893,15128,125,"catsa,epm_e4,physiopain_eeg,physiopain_watch,rheumapain,wearable_sports_health","catsa,epm_e4,physiopain_eeg,physiopain_watch,rheumapain,wearable_sports_health",133,45,ok,,,,,,0.6417900581702802,0.9807682296287171,0.9798247013811601,0.940515067063848,0.9675713430453003,
baseline_state_binary,baseline_group_holdout,metadata_probe,,49893,15128,26,"catsa,epm_e4,physiopain_eeg,physiopain_watch,rheumapain,wearable_sports_health","catsa,epm_e4,physiopain_eeg,physiopain_watch,rheumapain,wearable_sports_health",133,45,ok,,,,,,0.6417900581702802,1.0,1.0,1.0,1.0,
